28	default cheap mobile provider	cheapest mobile operator	buy sim	west europe	nord europe	europe	country	east	card	
1423	cheapest foreign transaction fees	foreign country	minimize fees	credit cards	credit card	usa	
1453	schengen visa application	schengen country	schengen visa	schengen area	state responsible	visa application	main   destination	agreement established	border restrictions	main destination	
1475	visit manchester	manchester	europe	preferably	cost	travel	long	planning	london	year	
1483	find city bikes	find	managed	ve	times	bike	location	copenhagen	left	luck	
1504	visit kuwait	proven wrong	current trip	kuwaiti visa	entering kuwait	israel visit	visiting israel	israeli stamp	kuwait stamp	visit israel	
1565	national travel advice	safety recommendations changed	safety recommendations relevant	regular precautions	gut feeling	recent past	web pages	arab spring	western world	safety	
1573	great photo opportunities	photo opportunities	good locations	historic architecture	visiting spain	architecture	spain	october	hiking	nature	
1651	car seat	car seats	car	taxi	40 minutes	maasbree	solution	london	traveling	transport	
1709	company ukrferry	russian visa	georgia ferry	russian	georgia	ferry	previously	site	impossible	disembark	
1709	company ukrferry	russian visa	georgia ferry	russian	georgia	ferry	previously	site	impossible	disembark	
1712	user roflcopter states	special rules due	obtain russian visas	roflcopter subject	russian federation	russian embassy	lichstenstein citizen	comment posted	rules vary	home countries	
1777	travelling economy class	mind spending	infrequent travellers	malaysia airlines	kuala lumpur	scheduled departure	hour layover	modest amount	5 hour stopover	subscription based	
1827	travel mate	travel sick	big problem	motion sickness	motion	elephants	question	focus	traveling	ways	
1468	allenby bridge	uk citizen	day trip	people travel	visit petra	travel	day	petra	dont	im	
1836	skim 200 tripadvisor reviews	budget chain hotels	hotels connection ahead	offer free wi	hotels internet	internet connection	enterprising traveller	completely cold	shameful string	terrible connections	
1836	skim 200 tripadvisor reviews	budget chain hotels	hotels connection ahead	offer free wi	hotels internet	internet connection	enterprising traveller	completely cold	shameful string	terrible connections	
1856	bulgaria serbia macedonia	free camping permitted	free camping	wild camping	answers cover	albania greece	sleeping bag	europe	limited	area	
1340	common sense	wild camping	camp fire	making noise	dark green	tent allowed	tent	probability	high	sight	
1869	specific allocated block	nearest psb office	investigating specialist agencies	edit  additional information	organising travel arrangements	extended individual journey	issue visa extensions	90 day tourist visa	chinese tourist visas	obtain refundable tickets	
1904	ve met	ve missed	party website	previous question	georgia mentioned	ferry connections	question	connections	ferry	georgia	
1911	favourable exchange rate	home country	destination country	money	general	change	
1961	stack exchange policy	head straight west	bus routes	basic tent	good spot	good stuff	interesting cities	specific points	sleeping bag	australian passport	
102	good hydration system	prevent thi	3l camelback	purification methods	initial thought	1l bottles	higher altitudes	water freezing	hiking kilimanjaro	hiking	
2038	central america	immigration/customs concerns	driving	mexico	route	drive	long	face	recommended	safety	
2024	kopaonik national park	camping facilities	specific points	wrong part	campgrounds located	park	located	ve	campsite	serbia	
2067	road trip	coach	beijing	georgia	continue	thinking	dumping	moscow	siberian	plans	
2069	current political situation	rostov train route	train route	political reasons	long time	partly removed	moscow mentions	connected yerevan	route cross	georgia border	
2067	road trip	coach	beijing	georgia	continue	thinking	dumping	moscow	siberian	plans	
2070	cheap london	china visa	beijing	rush	people	train	siberian	journey	mongolian	wanting	
2070	cheap london	china visa	beijing	rush	people	train	siberian	journey	mongolian	wanting	
2067	road trip	coach	beijing	georgia	continue	thinking	dumping	moscow	siberian	plans	
2079	star trek experience	science fiction geek	geek stuff	cool stuff	computer programmer	good suggestion	las vegas	vegas	kinds	things	
1497	heard people	create issues	israeli stamp	stamp	israel	truth	countries	repercussions	problems	statement	
1911	favourable exchange rate	home country	destination country	money	general	change	
2310	working holiday programs	arrival work visas	start working	work visa	basically wander	ve found	ideal answer	began wondering	definitive source	arrival	
2328	general travel insurance policy	good travel insurance policy	good health traveling	frequently highly recommended	travel insurance	insurance plan	commonly recommended	dizzying array	medical issue	term traveler	
2437	cheap suggestions appreciated	hostel location	london standards	suitable area	suitable	accessible	prefer	back	doesn	eyeing	
2492	honduras brought back vivid memories	relieve sand fly bites	garifuna village due	modern western chemical	poor local people	mosquito repellent question	prevent sand flies	sand flies	recent question	remote location	
2492	honduras brought back vivid memories	relieve sand fly bites	garifuna village due	modern western chemical	poor local people	mosquito repellent question	prevent sand flies	sand flies	recent question	remote location	
2486	vatican st peter	basilica sistine chapel	metro/transport pass	save money	museum pass	full days	days	cheap	terms	day 1	
2471	common backpacking travel cities	find good backpacking hostels	good travel location	solo male traveler	honduras good	honduras	preferably	week	backpackers	2 weeks	
2589	central asia	tour group	yalla yalla	mobile pharmacy	delhi belly	bombay belly	karachi crouch	butt chunder	united kingdom	dal wave	
2628	home legal aid	foreign country	country	don	safety	family	traveller	charges	make	arrested	
2628	home legal aid	foreign country	country	don	safety	family	traveller	charges	make	arrested	
2647	type stuff required	north face brand	similar question	rational answer	camping culture	remained open	lost tent	nearby country	cheap tent	southern albania	
2646	buy special winter clothes	extra layers suffice	winters vary greatly	caucasus mountains offer	tech western stuff	ve expected georgia	special precautions	ve travelled	ve experienced	western europe	
2675	balkan hostel prices	ll cross	spot roughly	mind roughing	southern tip	couch surf	tight budget	sleeping bag	enjoy travelling	finding accommodation	
2675	balkan hostel prices	ll cross	spot roughly	mind roughing	southern tip	couch surf	tight budget	sleeping bag	enjoy travelling	finding accommodation	
14	travel agencies catering	citizens visiting cuba	cuba	attempt	worthwhile	agency	visit	aware	citizen	services	
2696	route planning tool	route approximately	plan routes	northern africa	google maps	eastern europe	planning	summer	calculate	aren	
2772	galway	winter	december	live	wear	ireland	november	10&deg	
2779	fill empty seats	makes sense	worth visiting	amazing offer	offer	fly	reykjavik	winter	visit	iceland	
2798	publicly accessible tall structures	pretty good views	good views	great fire	st paul	city	understand	cathedral	dome	locations	
2798	publicly accessible tall structures	pretty good views	good views	great fire	st paul	city	understand	cathedral	dome	locations	
2831	find affordable beachfront hotels	affordable beachfront hotels	beachfront hotels	south coast	san diego	easy access	surfing beach	central coast	surfing	central	
2832	paris 2 years ago	speak english	speak french	local people	local language	speak	language	people	listening	back	
2841	2x 12h long flights	fly small planes	long haul flights	haul flights	bit unwell	3h stopover	long	europe	taste	australia	
2779	fill empty seats	makes sense	worth visiting	amazing offer	offer	fly	reykjavik	winter	visit	iceland	
2865	kruger national park saint lucia	swaziland cape town	kruger park	panoramic route	alternative routes	karoo namaqualand	wild animals	southern namibia	travel independently	south africa	
2878	leaving airport international zone	european union citizen	international zone	european country	hand luggage	extra fee	schiphol amsterdam	technical term	airplane company	airport	
2919	single flight	website	haj	reach	flights	airport	hannover	easy	routes	query	
2927	bing maps	ridiculous advice	google maps	middle east	web site	routes site	eastern europe	works properly	western asia	site	
2930	ve discussed submarine tours	gather james cameron	deepest underwater tour	deepest	charter	tourist	past	planning	jaunts	vessel	
2970	connecting time	imply transiting	author explains	connecting flight	minimum time	domestic transfers	latin america	related question	international connection	international transfers	
2975	free internet access	free internet	internet	summer	airports	couldn	overview	lists	wireless	plane	
2975	free internet access	free internet	internet	summer	airports	couldn	overview	lists	wireless	plane	
1665	grand cayman give	45 min submarine tours	submarine tour	entire weekend	navy seal	authentic experience	companies	hawaii	brother	
3025	local pre paid sim	telstra sim card	3g data	telstra	data	options	australia	cheapest	ll	buy	
3040	cruise line	tour operator	cruise liner	saint petersburg	russian visa	petersburg	visa	summer	question	accomondation	
3036	big island specifically	diverse places	hawaiian islands	strong recommendations	thinking oahu	dolphins	ll	diversity	turtles	coral	
3054	gut feeling	understood worldwide	speaking english	global language	speak english	english	speak	language	firm	statement	
3041	separate hot/cold taps	separate taps	water sinks	hands burn	cold water	plumber shops	hands freeze	hot water	hot	mix	
3078	elaborate passengers rights	eu passenger rights	eu based airline	based airlines	partner airline	turning part	eu made	rights apply	rights	passengers	
3080	asian toilets aka squat toilets	oriental eastern asian toilets	wet trouser cuffs	toilet floor surely	squat toilet	socks wet	north america	start popping	completely utterly	grippy bits	
1340	common sense	wild camping	camp fire	making noise	dark green	tent allowed	tent	probability	high	sight	
2675	balkan hostel prices	ll cross	spot roughly	mind roughing	southern tip	couch surf	tight budget	sleeping bag	enjoy travelling	finding accommodation	
3160	wildlife fauna tourist destination	wildlife tourist destination	early december	richmond park	stay longer	stay	short	place	family	paris	
2975	free internet access	free internet	internet	summer	airports	couldn	overview	lists	wireless	plane	
3206	american atms charging extra fees	canadian atms charge extra fees	good exchange rate	atm owning bank	atms don	foreign fees	atm operator	cash withdrawls	cash withdrawals	fees	
3206	american atms charging extra fees	canadian atms charge extra fees	good exchange rate	atm owning bank	atms don	foreign fees	atm operator	cash withdrawls	cash withdrawals	fees	
3198	french guyana	straightforward goal	definitive answer	chris guillebeau	separate england	ve heard	ve travelled	country counters	travelled	country	
3230	regularly free gold cards	free hostelworld gold card	hostelworld	card	couldn	heard	homepage	find	
3261	cooked turkish truckstop food led	custom fit pillow &amp	interstellar hitch hiker	sleeping bag hood	“hot australian hitchhiker”	australian flag	sacrificing comfort	ride offered	insulation inside	recently found	
3260	american student studying	friends studying	fly home	ofii form	form	barely	costly	semester	allowed	duration	
3278	ideally tokyo	ll end	mainland asia	mongolian/siberian trip	reach japan	japan	beijing	travel	flying	planning	
3289	south western coast	annular solar eclipse	adak island states	2012 solar eclipse	adak island	unusually sophisticated	island chain	alternative route	fully booked	offering flights	
3289	south western coast	annular solar eclipse	adak island states	2012 solar eclipse	adak island	unusually sophisticated	island chain	alternative route	fully booked	offering flights	
3289	south western coast	annular solar eclipse	adak island states	2012 solar eclipse	adak island	unusually sophisticated	island chain	alternative route	fully booked	offering flights	
3289	south western coast	annular solar eclipse	adak island states	2012 solar eclipse	adak island	unusually sophisticated	island chain	alternative route	fully booked	offering flights	
3295	iranian citizens	iranian citizen	embassies	obtain	persian	expect	arabic	thinks	information	travel	
3278	ideally tokyo	ll end	mainland asia	mongolian/siberian trip	reach japan	japan	beijing	travel	flying	planning	
3328	extra charge	countless times	minimum deposit	15 pounds card	travel freely	underground train	oyster card	card	oyster	underground	
2041	tickets generally valid	oyster card	single tickets	public transport	rush hour	bonus question	central london	visiting london	day travelcards	tickets	
3325	night tablets nyal cold &amp	flu fighter day &amp	codral day &amp	runny/blocked nose symptom	night dimetapp daytime/nightime	language barrier making	language barrier	day tablets	1 day tablets	flu medicine	
3330	pay traffic fines issued	driving safely ofc	abuse carpool lanes	pay parking spaces	speed limit	trash paper	foreign governments	long stay	car registered	pay	
3356	single airline seat	airline seat	random employee	20 years ago	flying ba	middle seat	window seat	fit easily	seat	fit	
3375	long distance buses don	level train system	long distance buses	long distance transport	official state monopoly	buses mentions	distance travel	expensive tgv	europe back	total lack	
3353	12+ hour journeys	places prohibit smoking	countries forbid smoking	friends coming	planned frighten	smoking	trains/buses	platforms	eu	trip	
3160	wildlife fauna tourist destination	wildlife tourist destination	early december	richmond park	stay longer	stay	short	place	family	paris	
3377	book tickets months ahead	distance land transport costs	ten years ago	long distance buses	long distance bus	distance overland travel	cheaper slower options	tgv tickets	cheaper options	whiny anecdotes	
3375	long distance buses don	level train system	long distance buses	long distance transport	official state monopoly	buses mentions	distance travel	expensive tgv	europe back	total lack	
3412	georgian government	passport stamp	iranian passport	tbilisi wondering	include iran	linked page	georgia listed	iran stay	iran	georgia	
3418	high muslim populations	overwhelmingly muslim populations	muslim country	drinking beer	closed set	muslim countries	laws based	secular countries	secular	country	
3410	muslim country	special rules	drink alcohol	drink beer	muslim countries	dubai	tourists	forbidden	ramadan	tourist	
193	southern african customs union	temporary import taxes	linked wikipedia article	carnet de passage	future overlanders don	car back home	find contradictory information	local carnet	vehicles older	cash bond	
3465	reading lonely planet travel guides	lonely planet isn	long summer journey	travel guides	travel books	bit surprised	afghanistan dangerous	afghanistan	traveling	recently	
3465	reading lonely planet travel guides	lonely planet isn	long summer journey	travel guides	travel books	bit surprised	afghanistan dangerous	afghanistan	traveling	recently	
3481	decent 11 euro double room	double room	travel destination	worth visiting	significant part	practical question	schengen area	tel price	cheapest accommodation	accommodation	
2841	2x 12h long flights	fly small planes	long haul flights	haul flights	bit unwell	3h stopover	long	europe	taste	australia	
1014	personal anecdotal experience	minimize jet lag	sleeping time doesn	long haul flights	travelling east	ve found	stay awake	erratic sleepiness	shorter flights	sleepless nights	
3488	buy airline tickets separately	buy airline tickets	diferent dates	similar results	american continent	travel website	usd $350 incluiding	usd $350 deal	market price	tickets	
3515	legally removed	passport officials	airline ticket	australian citizen	chinese passport	australian	chinese	passports	booked	don	
3505	smart phone access	cheap data access	google maps	cell phones	south korea	days	interested	travelling	
3490	cell phones	smart phone	weeks	couple	running	japan	travelling	options	
3535	exchanging albanian money	albanian lekë	albanian lek	small amount	inconvertible   currencies	macedonian denar	change lekë	change	comment	summer	
3532	traditional hippie trail included afghanistan	heard mixed stories	safe overland route	winter time	pakistani border	public transport	route	pakistan	nepal	people	
3535	exchanging albanian money	albanian lekë	albanian lek	small amount	inconvertible   currencies	macedonian denar	change lekë	change	comment	summer	
3560	soldiers entering iraq / afghanistan	travelling highlights	super rewarding	ve found	fluff piece	world made	popular countries	countries coming	visited places	fewest tourists	
3576	fairly straight forward	promote equal chances	business app programmer	fall short	brings laptops	passionate traveler	english teacher	computer scientist	computer person	travel/work tips	
3576	fairly straight forward	promote equal chances	business app programmer	fall short	brings laptops	passionate traveler	english teacher	computer scientist	computer person	travel/work tips	
3592	understand simple responses	easter weekend	cheapest option	demoscene party	chronic motion	saarbrücken	erste straß	conversational german	hahn airport	train due	
3589	car insurance / breakdown cover	secondary phone left switched	medical insurance cards	low battery = lost	bring spare food	including spare tyre	spare batteries	remain comfortable	aid kit	covered automatically	
3674	marco polo airport transfer	venice central train station	marco polo airport	venice	cheapest	fastest	
3677	air travel vehicle	mile high club	additional travel question	1 nautical mile	regular plane	wikipedia defines	question	people	sex	mentioned	
3640	lonely planet suggests	takes 2 weeks	visiting india	india	form	guys	ll	recommended	vaccinations	time	
3727	weather / tides	luggage allowance flying	dive site compare	scuba diving compare	dive shop	tank dive	typical times	good diving	byron bay	coffs harbour	
3748	airline policies	desktop computer	properly protect	upcoming trip	checked luggage	united/continental flight	monitor	taking	flying	aware	
3796	malarial strains resistant	week holiday starting	doctor advised	beach resort	magnificent offer	south ending	coastal areas	young children	countries malaria	children	
3796	malarial strains resistant	week holiday starting	doctor advised	beach resort	magnificent offer	south ending	coastal areas	young children	countries malaria	children	
3802	chinese duty tax rate	pay chinese customs duties	pay customs duties	duty tax	acquire renminbi	credit card	bringing items	customs	pay	items	
3826	peak seasons	curonian spit	dead season	note	temperature	visiting	care	avoid	year	hand	
3804	obvious approach	lithuanian side	eu citizen	worth incurring	russian side	russian visa	day trip	additional hassle	curonian spit	kaliningrad oblast	
3838	offers worldwide wifi roaming services	offer worldwide wifi roaming	fellow members worldwide	adding cc details	share internet access	wifi access	offer access	internet access	terminal building	big fan	
3874	foreign credit cards	7 seperate rail journeys	buy train tickets	simplest method	book tickets	machine pick	tickets	accessible	obtaining	locations	
3893	hand cream / moisturiser fix	bought cheap modern synthetic gloves	typical minimum temperatures	make things worse	rough sore skin	cold tbilisi georgia	proper winter coat/jacket	pretty warm country	hand cream	wearing gloves	
3888	southern region bordering cambodia	southern region	southern laos	northern part	spend days	top destinations	capital city	visit laos	cambodia	laos	
3888	southern region bordering cambodia	southern region	southern laos	northern part	spend days	top destinations	capital city	visit laos	cambodia	laos	
2643	tropical country	winter apparel	winter	layer	google	48 farenheit	december	lucerne	idea	put	
3893	hand cream / moisturiser fix	bought cheap modern synthetic gloves	typical minimum temperatures	make things worse	rough sore skin	cold tbilisi georgia	proper winter coat/jacket	pretty warm country	hand cream	wearing gloves	
3887	canadian citizen	visit laos	laos	plans	travel	pass	back	cambodia	visa	travelling	
3888	southern region bordering cambodia	southern region	southern laos	northern part	spend days	top destinations	capital city	visit laos	cambodia	laos	
3948	lonely planet published	culture budget ease	discover central asia	central asia	visa procedures	tourist infrastructure	safety concerns	travel independently	ease	europe	
3948	lonely planet published	culture budget ease	discover central asia	central asia	visa procedures	tourist infrastructure	safety concerns	travel independently	ease	europe	
3983	original cardboard box	run packing tape	checked baggage	desktop computer	duct tape	hand holes	ve decided	spray paint	securely prepare	multiple sides	
3991	visa card stolen	visa card office	toll free numbers	card lost directly	free phone numbers	reverse charge call	call reverse charges	toll free number	lost visa cards	toll free	
3927	miami	cheapest	cuba	cancú	cheaper	
4060	maximum weight limitations	tsa website	checked baggage	easily close	travel agent	easily reseal	baggage inspectors	deep inside	articles don	open bags	
4091	wild camping regulations	wild camping	common sense	ring road	secondary trails	ve read	summer	move	talking	rent	
4068	indian flights	international flight	staying	travel	delhi	timings	bangkok	book	agent	time	
4061	travel health insurance plans	global health insurance plan	additional travel coverages	travel health insurance	researching world nomads	domestic health coverage	world nomads plan	term international trip	health insurance	world nomads	
3983	original cardboard box	run packing tape	checked baggage	desktop computer	duct tape	hand holes	ve decided	spray paint	securely prepare	multiple sides	
4096	arabic traffic signs	traffic signs morocco	understand arabic	google image	interesting journeys	morocco	don	risk	malaria	read	
4111	exact prior plan	acceptable place	russian visa	tourist visa	campsite considered	plan	visa	campsite	money	zapolyarny	
4111	exact prior plan	acceptable place	russian visa	tourist visa	campsite considered	plan	visa	campsite	money	zapolyarny	
4111	exact prior plan	acceptable place	russian visa	tourist visa	campsite considered	plan	visa	campsite	money	zapolyarny	
4098	antarctica tour operators	south pole expedition	group tour	antarctica annually	south pole	international association	000 people visit	options exist	fraction make	frugal traveller	
4127	nearby major city	special permit	guided tour	3 day tour	volcanoes	visit	volcanes	prefer	choose	reached	
3983	original cardboard box	run packing tape	checked baggage	desktop computer	duct tape	hand holes	ve decided	spray paint	securely prepare	multiple sides	
4186	hassle free temporary work visa	worst case scenario	temporary job	study english	cheap english	world ain	learn french	stay home	visa	stay 6 months	
4196	contained luxury resorts exist	lifetime trip abroad	picked north africa/	north africa	perfect resort	middle east	visit feels	dress codes	overly stuffy	elderly parents	
4170	book thailand rail tickets online	thailand rail system	srt / thairailticket	tickets ahead	chiang mai	siem reap	overnight trains	thailand	tickets	book	
4213	airlines sell tickets	fill empty seats	minute flight bookings	2 day gap online	booking flight tickets	flight prices	book online	cheaper price	cheaper prices	weeks running	
4217	rich cultural heritage	secondary issue	nice monasteries	backpacking trip	natural beauty	world class	taking monuments	reasonable month	month	exotic	
4225	online booking / search site	maximum flight time	flight times	minimum temperature	route map	questions earlier	set criteria	match flights	site	search	
4225	online booking / search site	maximum flight time	flight times	minimum temperature	route map	questions earlier	set criteria	match flights	site	search	
4261	afford super expensive countries	month long backpacking trip	rich cultural heritage	exclude countries	reasonable month	secondary issue	nice monasteries	subjective criterion	question interesting	natural beauty	
4277	polish nationals living	improve things	major airports	losing passport	tourist visa	passport	visa	code	process	embassy	
4296	captains marrying couples	mark mayo posted	dry land	special rules	international waters	movie casablanca	mark	comment	knot	fair	
4292	ultimate experience	traveler	married	traveling	legally	
4330	12 hour plane ride back	placebo psychological effect—	early age	airports/airplanes/air travel	air travel—	* motion sickness	preferable option	air travel	days ago	burnt jet	
248	avoiding air travel sickness	prevent motion sickness	extended overseas flight	motion sickness	air flights	essentially drugging	ve handled	long haul	groggy sleep	7+ hours	
4361	seat back lowered	head droops forward	drooping forward	head jolt	stiff neck	neck cushions	head	neck	drooping	putting	
4394	large shoulder bag	large backpack	fairly vague	linear inches	checked luggage	laptop bag	personal item	similar size	continental airlines	regular carry	
4421	buying bottled water	drink tap water	safe tap water	tap water	hard water	upset stomach	wikitravel entry	objective information	higher levels	local people	
4449	central america	active volcano	gases	terms	visit	lava	eruptions	explosions	
4459	star alliance north america airpass	today air passes work differently	long distance flights	exist today	” air passes	passengers list	ticket called	transatlantic flight	positive answer	good answer	
4466	question depends	differ depending	start planning	personal situation	make sense	personal factors	world tickets	continuous cost	world cost	world	
4466	question depends	differ depending	start planning	personal situation	make sense	personal factors	world tickets	continuous cost	world cost	world	
1568	airport passport control	dhs departure record	departure record	commercial airline	immigration officials	people leave	b1/b2 visa	recorded automatically	departure	officer	
4602	anne frank huis	typical sightseeing suggestions	fun weekend	previous questions	repeatedly mentioned	sightseeing	3 days	bit	point	don	
4602	anne frank huis	typical sightseeing suggestions	fun weekend	previous questions	repeatedly mentioned	sightseeing	3 days	bit	point	don	
4620	good starter	rio carnaval	carnaval time	suggested itinerary	carnaval	itinerary	brazil	//travel	http	salvador	
4629	booking weeks ahead	affect travel plans	air travel depends	air travel	analogous issues	winter months	uneducated guess	delayed due	boston area	philadelphia area	
4651	guides accept usd	preferred foreign currency	preferred currency	foreign currencies	cab drivers	indian rupee	bring cad	usd	bring	cad	
4688	tram start working	buy tram tickets	tram tickets	buy tickets	tram driver	short trip	central station	tram 16	buy	start	
4726	site guides questioners	make water safe	fairly thought provoking	provide definitive advice	seemingly good advice	taking official advice	high quality forum	fairly straightforward	effective advice	tv programmes	
4726	site guides questioners	make water safe	fairly thought provoking	provide definitive advice	seemingly good advice	taking official advice	high quality forum	fairly straightforward	effective advice	tv programmes	
4726	site guides questioners	make water safe	fairly thought provoking	provide definitive advice	seemingly good advice	taking official advice	high quality forum	fairly straightforward	effective advice	tv programmes	
4730	normal train compartment	long train journeys	journey starts early	long train journey	journey takes 44 hours	long journey	train schedule	early afternoon	takes place	bit afraid	
4757	ll spend  days	city center	cheapest options	public transport	richmond park	remote areas	time period	travel pass	days	ll	
2041	tickets generally valid	oyster card	single tickets	public transport	rush hour	bonus question	central london	visiting london	day travelcards	tickets	
4846	everest base camp hiking thingy	everest base camp hiking	difficulty level	regular sport	pretty fit	everest	year	cost	time	
4859	connecting flight	american airport	change planes	entering/exiting schengen	europe	case	don	immigration	visa	catch	
4859	connecting flight	american airport	change planes	entering/exiting schengen	europe	case	don	immigration	visa	catch	
4872	ray / sniffer dog	schapelle corby case	drugs /	people travelling	guys ahead	bomb/live snake	ll stuff	travel bag	bag won	bag	
4828	avoiding tourist traps	good food	quality alcohol	personal experience	cuban cigars	tourist trap	saint martin	cruise ships	concrete question	avoid places	
4901	road trip	extra insurance	legal requirements	renting	driver	license	purpose	car	foreigner	planning	
4779	petra / dead sea	fridays / saturdays	pretty strong currency	taking day trips	making day trips	jordan / amman	dead sea	petra caves	making amman	suggest spending	
4935	istanbul bus depart	depart tbilisi	didube station	istanbul turkey	buses running	tbilisi georgia	time roughly	istanbul	tbilisi	time	
4969	adaptation period	sea level	machu picchu	trek	long	wondering	places	visiting	hike	visit	
4944	costa rica	option	cuba	
5019	red light ticket	officer told	indian drivers	specifically atlanta	ticket	atlanta	pay	checked	license	received	
995	speeding ticket / traffic fine	traffic fine	drivers license	united states	demand payment	enforce punishment	issuing officer	ve heard	infractions	confiscate	
5024	computer / electronic device	roaming international sim card	long battery life disadvantages	store photos backup data	memory card	store alot	games/movies/music disadvantages	nokia n97	acer aspire	main cities	
5024	computer / electronic device	roaming international sim card	long battery life disadvantages	store photos backup data	memory card	store alot	games/movies/music disadvantages	nokia n97	acer aspire	main cities	
5024	computer / electronic device	roaming international sim card	long battery life disadvantages	store photos backup data	memory card	store alot	games/movies/music disadvantages	nokia n97	acer aspire	main cities	
5028	luggage/storage part	people solve	big dog	medium/big dog	dog	crazy	specially	family	8kg	back	
